course_code,course_name,program,level,semester,prerequisites,credits
ENG101,English 1,Computer Science,Freshman,First,,2
BMT111,Calculus,Computer Science,Freshman,First,,3
BMT112,Discrete Mathematics,Computer Science,Freshman,First,,3
BPH111,Physics,Computer Science,Freshman,First,,3
CSC111,Computing Fundamentals,Computer Science,Freshman,First,,3
PSC110,Human Rights,Computer Science,Freshman,First,,2
ENG102,English 2,Computer Science,Freshman,Second,ENG101,2
BMT121,Differential Equations,Computer Science,Freshman,Second,BMT111,3
CSC121,Structured Programming,Computer Science,Freshman,Second,CSC111,3
CPS121,Communication Skills and Report Writing,Computer Science,Freshman,Second,ENG101,2
BMT122,Probability and Statistics,Computer Science,Freshman,Second,BMT111,3
CSC122,Logic Design,Computer Science,Freshman,Second,BMT112,3
CPS211,Ethics and Social Impacts of Computing,Computer Science,Sophomore,Third,,2
CSC211,Object Oriented Programming,Computer Science,Sophomore,Third,CSC121,3
BPH211,Advanced Physics,Computer Science,Sophomore,Third,BPH111,3
BMT212,Linear Algebra,Computer Science,Sophomore,Third,BMT121,3
HUM-ELECTIVE-1,Humanities and Ethics Elective,Computer Science,Sophomore,Third,,2
BMT211,Advanced Probability and Statistics,Computer Science,Sophomore,Third,BMT122,3
CSC221,Advanced Programming,Computer Science,Sophomore,Fourth,CSC211,3
CSC222,Data Structures,Computer Science,Sophomore,Fourth,CSC211,3
CSC223,Software Engineering -1,Computer Science,Sophomore,Fourth,CSC211,3
CSS221,Computer Networks,Computer Science,Sophomore,Fourth,CSC111 and BMT112,3
ISI222,Database Systems -1,Computer Science,Sophomore,Fourth,CSC121,3
ISI311,Modeling and Simulation,Computer Science,Junior,Fifth,BMT122,3
CSA311,Artificial Intelligence Fundamentals,Computer Science,Junior,Fifth,CSC211,3
CSS312,Computers and Information Security,Computer Science,Junior,Fifth,CSS221,3
CSC311,Operating Systems - 1,Computer Science,Junior,Fifth,,3
CSC312,Analysis and Design of Algorithms,Computer Science,Junior,Fifth,CSC222,3
CSC313,Software Engineering - 2,Computer Science,Junior,Fifth,CSC223,3
CSC326,Web Applications Development,Computer Science,Junior,Sixth,CSC211 and ISI222,3
CSC322,Operating Systems - 2,Computer Science,Junior,Sixth,CSC311,3
CSC323,Computer Architecture,Computer Science,Junior,Sixth,CSC122,3
CSC324,Theory of Computations,Computer Science,Junior,Sixth,BMT112,3
CSC325,Computer Organization and Assembly Language,Computer Science,Junior,Sixth,CSC121 and CSC122,3
CS-ELECTIVE-1,Computer Science Program Elective -1,Computer Science,Junior,Sixth,Depends on selected elective,3
TR333,Summer Training,Computer Science,Junior,Summer,,3
PR498,Project - 1,Computer Science,Senior,Seventh,CSC223,3
CSC411,Cloud Computing,Computer Science,Senior,Seventh,CSC223 and CSS221,3
CSC412,Embedded Systems,Computer Science,Senior,Seventh,CSC323,3
CS-ELECTIVE-2,Computer Science Program Elective - 2,Computer Science,Senior,Seventh,Depends on selected elective,3
CS-ELECTIVE-3,Computer Science Program Elective - 3,Computer Science,Senior,Seventh,Depends on selected elective,3
PR499,Project - 2,Computer Science,Senior,Eighth,PR498,3
DMT323,Computer Graphics,Computer Science,Senior,Eighth,BMT212,3
CSC422,Concepts of Programming Languages,Computer Science,Senior,Eighth,CSC221,3
CS-ELECTIVE-4,Computer Science Program Elective - 4,Computer Science,Senior,Eighth,Depends on selected elective,3
CS-ELECTIVE-5,Computer Science Program Elective - 5,Computer Science,Senior,Eighth,Depends on selected elective,3
ENG101,English 1,Artificial Intelligence,Freshman,First,,2
BMT111,Calculus,Artificial Intelligence,Freshman,First,,3
BMT112,Discrete Mathematics,Artificial Intelligence,Freshman,First,,3
BPH111,Physics,Artificial Intelligence,Freshman,First,,3
CSC111,Computing Fundamentals,Artificial Intelligence,Freshman,First,,3
PSC110,Human Rights,Artificial Intelligence,Freshman,First,,2
ENG102,English 2,Artificial Intelligence,Freshman,Second,ENG101,2
BMT121,Differential Equations,Artificial Intelligence,Freshman,Second,BMT111,3
CSC121,Structured Programming,Artificial Intelligence,Freshman,Second,CSC111,3
CPS121,Communication Skills and Report Writing,Artificial Intelligence,Freshman,Second,ENG101,2
BMT122,Probability and Statistics,Artificial Intelligence,Freshman,Second,BMT111,3
CSC122,Logic Design,Artificial Intelligence,Freshman,Second,BMT112,3
CPS211,Ethics and Social Impacts of Computing,Artificial Intelligence,Sophomore,Third,,2
CSC211,Object Oriented Programming,Artificial Intelligence,Sophomore,Third,CSC121,3
BPH211,Advanced Physics,Artificial Intelligence,Sophomore,Third,BPH111,3
BMT212,Linear Algebra,Artificial Intelligence,Sophomore,Third,BMT121,3
ELEC_S3,Elective: Science & Ethics,Artificial Intelligence,Sophomore,Third,,2
BMT211,Advanced Probability and Statistics,Artificial Intelligence,Sophomore,Third,BMT122,3
CSC221,Advanced Programming,Artificial Intelligence,Sophomore,Fourth,CSC211,3
CSC222,Data Structures,Artificial Intelligence,Sophomore,Fourth,CSC211,3
CSC223,Software Engineering 1,Artificial Intelligence,Sophomore,Fourth,CSC211,3
CSS221,Computer Networks,Artificial Intelligence,Sophomore,Fourth,CSC111 and BMT112,3
ISI222,Database Systems 1,Artificial Intelligence,Sophomore,Fourth,CSC121,3
ISI311,Modeling and Simulation,Artificial Intelligence,Junior,Fifth,BMT122,3
CSA311,Artificial Intelligence Fundamentals,Artificial Intelligence,Junior,Fifth,CSC211,3
CSS312,Computers and Information Security,Artificial Intelligence,Junior,Fifth,CSS221,3
CSC311,Operating Systems 1,Artificial Intelligence,Junior,Fifth,CSC211,3
CSC312,Analysis and Design of Algorithms,Artificial Intelligence,Junior,Fifth,CSC222,3
CSA313,Image Processing,Artificial Intelligence,Junior,Fifth,BMT212 and CSC121,3
CSC323,Computer Architecture,Artificial Intelligence,Junior,Sixth,CSC122,3
CSA321,Machine Learning,Artificial Intelligence,Junior,Sixth,BMT122 and CSA311,3
CSA322,Reasoning and Agents,Artificial Intelligence,Junior,Sixth,CSA311,3
CSA423,Computer Vision,Artificial Intelligence,Junior,Sixth,CSA313 and CSA311,3
CSA323,Artificial Intelligence Applications,Artificial Intelligence,Junior,Sixth,CSA311,3
CSA324,Processing of Formal and Natural Language,Artificial Intelligence,Junior,Sixth,CSA311,3
TR333,Summer Training,Artificial Intelligence,Junior,Summer,,3
PR498,Project 1,Artificial Intelligence,Senior,Seventh,CSC223,3
CSA411,Neural Networks and Deep Learning,Artificial Intelligence,Senior,Seventh,BMT121 and CSA311,3
CSC412,Embedded Systems,Artificial Intelligence,Senior,Seventh,CSC323,3
AI-ELECTIVE-1,AI Program Elective 1,Artificial Intelligence,Senior,Seventh,Depends on selected elective,3
AI-ELECTIVE-2,AI Program Elective 2,Artificial Intelligence,Senior,Seventh,Depends on selected elective,3
PR499,Project 2,Artificial Intelligence,Senior,Eighth,PR498,3
CSA424,Reinforcement Learning,Artificial Intelligence,Senior,Eighth,CSA321,3
CSA422,Intelligent Autonomous Robotics,Artificial Intelligence,Senior,Eighth,CSC412,3
AI-ELECTIVE-3,AI Program Elective 3,Artificial Intelligence,Senior,Eighth,Depends on selected elective,3
AI-ELECTIVE-4,AI Program Elective 4,Artificial Intelligence,Senior,Eighth,Depends on selected elective,3
ENG101,English 1,Information Systems,Freshman,First,,2
BMT111,Calculus,Information Systems,Freshman,First,,3
BMT112,Discrete Mathematics,Information Systems,Freshman,First,,3
BPH111,Physics,Information Systems,Freshman,First,,3
CSC111,Computing Fundamentals,Information Systems,Freshman,First,,3
PSC110,Human Rights,Information Systems,Freshman,First,,2
ENG102,English 2,Information Systems,Freshman,Second,ENG101,2
BMT121,Differential Equations,Information Systems,Freshman,Second,BMT111,3
CSC121,Structured Programming,Information Systems,Freshman,Second,CSC111,3
CPS121,Communication Skills and Report Writing,Information Systems,Freshman,Second,ENG101,2
BMT122,Probability and Statistics,Information Systems,Freshman,Second,BMT111,3
CSC122,Logic Design,Information Systems,Freshman,Second,BMT112,3
CPS211,Ethics and Social Impacts of Computing,Information Systems,Sophomore,Third,,2
CSC211,Object Oriented Programming,Information Systems,Sophomore,Third,CSC121,3
ISI211,Introduction to Information Systems,Information Systems,Sophomore,Third,CSC111,3
BMT212,Linear Algebra,Information Systems,Sophomore,Third,BMT121,3
ELEC_S3,Elective: Science & Ethics,Information Systems,Sophomore,Third,,2
BMT211,Advanced Probability and Statistics,Information Systems,Sophomore,Third,BMT122,3
CSC221,Advanced Programming,Information Systems,Sophomore,Fourth,CSC211,3
